contact_index,row,component,expected,actual,diff
0,normal.linear_a,x,-1.000000000000e+00,-1.000000000000e+00,0.000000000000e+00
0,normal.linear_a,y,-0.000000000000e+00,-0.000000000000e+00,0.000000000000e+00
0,normal.linear_b,x,1.000000000000e+00,1.000000000000e+00,0.000000000000e+00
0,normal.linear_b,y,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
0,normal.angular,a,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
0,normal.angular,b,-0.000000000000e+00,-0.000000000000e+00,0.000000000000e+00
0,rolling.linear_a,x,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
0,rolling.linear_a,y,-1.000000000000e+00,-1.000000000000e+00,0.000000000000e+00
0,rolling.linear_b,x,-0.000000000000e+00,-0.000000000000e+00,0.000000000000e+00
0,rolling.linear_b,y,1.000000000000e+00,1.000000000000e+00,0.000000000000e+00
0,rolling.angular,a,2.005059222637e-01,2.005059222637e-01,0.000000000000e+00
0,rolling.angular,b,-2.005103935832e-01,-2.005103935832e-01,0.000000000000e+00
0,torsional.angular,a,-1.000000000000e+00,-1.000000000000e+00,0.000000000000e+00
0,torsional.angular,b,1.000000000000e+00,1.000000000000e+00,0.000000000000e+00
0,torsional.linear_a,x,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
0,torsional.linear_b,x,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1,normal.linear_a,x,-1.000000000000e+00,-1.000000000000e+00,0.000000000000e+00
1,normal.linear_a,y,-0.000000000000e+00,-0.000000000000e+00,0.000000000000e+00
1,normal.linear_b,x,1.000000000000e+00,1.000000000000e+00,0.000000000000e+00
1,normal.linear_b,y,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1,normal.angular,a,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1,normal.angular,b,-0.000000000000e+00,-0.000000000000e+00,0.000000000000e+00
1,rolling.linear_a,x,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1,rolling.linear_a,y,-1.000000000000e+00,-1.000000000000e+00,0.000000000000e+00
1,rolling.linear_b,x,-0.000000000000e+00,-0.000000000000e+00,0.000000000000e+00
1,rolling.linear_b,y,1.000000000000e+00,1.000000000000e+00,0.000000000000e+00
1,rolling.angular,a,2.005059222637e-01,2.005059222637e-01,0.000000000000e+00
1,rolling.angular,b,-2.005103935832e-01,-2.005103935832e-01,0.000000000000e+00
1,torsional.angular,a,-1.000000000000e+00,-1.000000000000e+00,0.000000000000e+00
1,torsional.angular,b,1.000000000000e+00,1.000000000000e+00,0.000000000000e+00
1,torsional.linear_a,x,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1,torsional.linear_b,x,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
